Table 1
Style Name,Style Number,Color Name,Color Code,Size,Alt Size,UPC,SKU,YOUR COST is Wholesale Price,Retail Price,Quantity Requested,Quantity Available,TOTAL,Available Date,Brand,Product Brand,Product Category,Product Segment,Product Sub Segment,Color
Trash Talker Basketball,9500,Clear/Blue Trans,CLEAR,Youth-OSFM,,733313060149,9590Y, US$	11.00 , US$	21.99 ,,928, US$	-   ,4/28/25,USB,Shock Doctor,Mouthguards,N/A,N/A,grey
Trash Talker Basketball,9500,Clear/Blue Trans,CLEAR,Adult-OSFM,,733313060132,9590A, US$	11.00 ,21.99,,0, US$	-   ,4/28/25,USB,Shock Doctor,Mouthguards,N/A,N/A,grey
Trash Talker Basketball,9500,Clear/Blue Trans,CLEAR,Adult-OSFM,,733313060156,9590W, US$	11.00 , US$	21.99 ,,945, US$	-   ,4/28/25,USB,Shock Doctor,Mouthguards,N/A,N/A,grey
Hex Basketball Tank 3-Pad,MD20220,Black,00001,Adult-S,Retail Package,029369158221,MD20220-00001-32, US$	25.00 , US$	49.99 ,,189, US$	-   ,4/28/25,USB,McDavid,Padded,N/A,N/A,black
Hex Basketball Tank 3-Pad,MD20220,Black,00001,Adult-M,Retail Package,029369158238,MD20220-00001-33, US$	25.00 , US$	49.99 ,,189, US$	-   ,4/28/25,USB,McDavid,Padded,N/A,N/A,black
Hex Basketball Tank 3-Pad,MD20220,Black,00001,Adult-L,Retail Package,029369158245,MD20220-00001-34, US$	25.00 , US$	49.99 ,,181, US$	-   ,4/28/25,USB,McDavid,Padded,N/A,N/A,black
Hex Basketball Tank 3-Pad,MD20220,Black,00001,Adult-XL,Retail Package,029369158252,MD20220-00001-35, US$	25.00 , US$	49.99 ,,173, US$	-   ,4/28/25,USB,McDavid,Padded,N/A,N/A,black
Hex Basketball Tank 3-Pad,MD20220,Black,00001,Adult-XXL,Retail Package,029369158269,MD20220-00001-36, US$	25.00 , US$	49.99 ,,72, US$	-   ,4/28/25,USB,McDavid,Padded,N/A,N/A,black
Hex Basketball Tank 3-Pad,MD20220,Black,00001,Adult-XXXL,Retail Package,029369172258,MD20220-00001-37, US$	25.00 , US$	49.99 ,,96, US$	-   ,4/28/25,USB,McDavid,Padded,N/A,N/A,black
Hex Basketball Tank 3-Pad,MD20220,White,90002,Adult-S,Retail Package,029369158276,MD20220-90002-32, US$	25.00 , US$	49.99 ,,77, US$	-   ,4/28/25,USB,McDavid,Padded,N/A,N/A,white
Hex Basketball Tank 3-Pad,MD20220,White,90002,Adult-M,Retail Package,029369158283,MD20220-90002-33, US$	25.00 , US$	49.99 ,,37, US$	-   ,4/28/25,USB,McDavid,Padded,N/A,N/A,white
Hex Basketball Tank 3-Pad,MD20220,White,90002,Adult-L,Retail Package,029369158290,MD20220-90002-34, US$	25.00 , US$	49.99 ,,36, US$	-   ,4/28/25,USB,McDavid,Padded,N/A,N/A,white
Hex Basketball Tank 3-Pad,MD20220,White,90002,Adult-XL,Retail Package,029369158306,MD20220-90002-35, US$	25.00 ,49.99,,0, US$	-   ,4/28/25,USB,McDavid,Padded,N/A,N/A,white
Hex Basketball Tank 3-Pad,MD20220,White,90002,Adult-XXL,Retail Package,029369158313,MD20220-90002-36, US$	25.00 , US$	49.99 ,,81, US$	-   ,4/28/25,USB,McDavid,Padded,N/A,N/A,white
HEX Basketball Short w/Hip & Tailbone Pads,MD21360,Black,00001,Adult-S,,029369165175,MD21360-00001-S, US$	25.00 ,49.99,,0, US$	-   ,4/28/25,USB,McDavid,Padded,N/A,N/A,black
HEX Basketball Short w/Hip & Tailbone Pads,MD21360,Black,00001,Adult-M,,029369165168,MD21360-00001-M, US$	25.00 ,49.99,,0, US$	-   ,4/28/25,USB,McDavid,Padded,N/A,N/A,black
HEX Basketball Short w/Hip & Tailbone Pads,MD21360,Black,00001,Adult-L,,029369165151,MD21360-00001-L, US$	25.00 ,49.99,,0, US$	-   ,4/28/25,USB,McDavid,Padded,N/A,N/A,black
HEX Basketball Short w/Hip & Tailbone Pads,MD21360,Black,00001,Adult-XL,,029369165182,MD21360-00001-XL, US$	25.00 , US$	49.99 ,,42, US$	-   ,4/28/25,USB,McDavid,Padded,N/A,N/A,black
HEX Basketball Short w/Hip & Tailbone Pads,MD21360,Black,00001,Adult-XXL,,029369165199,MD21360-00001-XXL, US$	25.00 , US$	49.99 ,,107, US$	-   ,4/28/25,USB,McDavid,Padded,N/A,N/A,black
HEX Basketball Short w/Hip & Tailbone Pads,MD21360,White,90002,Adult-S,,029369165229,MD21360-90002-S, US$	25.00 ,49.99,,0, US$	-   ,4/28/25,USB,McDavid,Padded,N/A,N/A,white
HEX Basketball Short w/Hip & Tailbone Pads,MD21360,White,90002,Adult-M,,029369165212,MD21360-90002-M, US$	25.00 ,49.99,,0, US$	-   ,4/28/25,USB,McDavid,Padded,N/A,N/A,white
HEX Basketball Short w/Hip & Tailbone Pads,MD21360,White,90002,Adult-L,,029369165205,MD21360-90002-L, US$	25.00 ,49.99,,0, US$	-   ,4/28/25,USB,McDavid,Padded,N/A,N/A,white
HEX Basketball Short w/Hip & Tailbone Pads,MD21360,White,90002,Adult-XL,,029369165236,MD21360-90002-XL, US$	25.00 , US$	49.99 ,,181, US$	-   ,4/28/25,USB,McDavid,Padded,N/A,N/A,white
